Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight
2.0,18.0,17.0,19.0,15.2,11.0,14.0,19.0,14.0,20.0,21.0,30.0,63
1.0,37.0,19.0,20.0,13.0,18.0,18.0,18.0,16.0,21.0,19.0,23.0,49
2.0,50.0,16.0,23.0,18.0,12.0,50.0,14.0,22.0,12.0,18.0,29.0,44
2.0,42.0,14.0,10.0,12.0,21.0,49.0,17.0,20.0,25.0,17.0,13.0,54
1.0,40.0,12.0,14.0,11.0,18.0,36.0,17.0,21.0,23.0,16.0,27.0,64
1.0,35.0,15.0,19.0,16.0,10.0,26.0,16.0,19.0,24.0,22.0,28.0,69
1.0,29.0,13.0,18.0,17.0,23.0,19.0,13.0,20.0,21.0,19.0,30.0,67
1.0,55.0,18.0,17.0,15.0,24.0,60.0,14.0,14.0,20.0,23.0,29.0,57
2.0,25.0,22.0,14.0,11.0,14.0,10.0,19.0,15.0,19.0,21.0,31.0,68
2.0,33.0,25.0,16.0,12.0,13.0,20.0,13.0,21.0,17.0,20.0,29.0,69
1.0,39.0,16.0,15.0,14.0,14.0,21.0,19.0,15.0,17.0,22.0,24.0,48
1.0,17.0,23.0,20.0,10.0,21.0,18.0,20.0,16.0,16.0,19.0,20.0,58
1.0,22.0,15.0,19.0,11.0,16.0,19.0,21.0,12.0,18.0,18.0,21.0,60
1.0,25.0,13.0,22.0,14.0,12.0,20.0,22.0,21.0,19.0,19.0,22.0,57
1.0,32.0,11.0,11.0,19.0,14.0,21.0,21.0,15.0,21.0,22.0,30.0,48
2.0,39.0,24.0,10.0,11.0,18.0,21.0,19.0,20.0,23.0,20.0,29.0,49
1.0,49.0,16.0,10.0,16.0,20.0,10.0,14.0,16.0,21.0,21.0,25.0,54
2.0,26.0,13.0,14.0,13.0,11.0,17.0,17.0,19.0,20.0,30.0,30.0,47
2.0,44.0,10.0,16.0,10.0,19.0,31.0,16.0,20.0,19.0,20.0,29.0,66
1.0,25.0,20.6,17.0,15.2,10.0,29.0,14.0,17.0,18.0,18.0,19.0,49
1.0,15.0,14.0,18.0,15.2,21.0,12.0,15.0,19.0,20.0,21.0,20.0,54
2.0,50.0,21.0,19.0,10.0,20.0,52.0,36.0,40.0,36.0,30.0,29.0,47
2.0,42.0,21.0,12.0,11.0,19.0,40.0,44.0,41.0,33.0,29.0,30.0,40
1.0,20.0,22.0,18.0,17.0,15.0,14.0,15.0,24.0,22.0,21.0,21.0,55
1.0,31.0,18.0,19.0,20.0,15.0,21.0,22.0,22.0,19.0,20.0,13.0,52
1.0,19.0,17.0,14.0,16.0,21.0,20.0,14.0,23.0,25.0,13.0,20.0,32
2.0,24.0,19.0,20.0,21.0,10.0,10.0,30.0,18.0,15.0,19.0,26.9,35
2.0,27.0,23.0,16.0,17.0,12.0,11.0,18.0,15.0,21.0,20.0,15.0,56
2.0,29.0,25.0,18.0,19.0,14.0,12.0,19.0,19.0,22.0,25.0,20.0,50
2.0,30.0,20.0,20.0,18.0,16.0,16.0,20.0,25.0,23.0,15.0,18.0,45
1.0,31.0,16.0,18.0,18.0,18.0,23.0,18.0,23.0,22.0,20.0,18.0,45
2.0,28.0,16.0,19.0,16.0,12.0,24.0,17.0,24.0,24.0,14.0,19.0,51
1.0,23.0,18.0,17.0,18.0,11.0,19.0,14.0,20.0,26.0,21.0,24.0,48
2.0,29.0,15.0,20.0,19.0,16.0,21.0,18.0,19.0,20.0,22.0,22.0,43
1.0,35.0,17.0,18.0,20.0,15.0,18.0,19.0,21.0,21.0,14.0,23.0,52
1.0,18.0,25.0,18.0,21.0,17.0,20.0,20.0,23.0,25.0,23.0,26.0,39
1.0,20.0,23.0,22.0,20.0,12.0,21.0,21.0,24.0,22.0,22.0,27.0,45
1.0,35.0,19.0,18.0,18.0,19.0,18.0,22.0,17.0,19.0,20.0,21.0,48
1.0,32.0,18.0,16.0,20.0,16.0,20.0,18.0,22.0,20.0,19.0,19.0,31
1.0,31.0,20.0,21.0,18.0,17.0,21.0,19.0,18.0,18.0,18.0,19.0,60
2.0,20.0,21.0,18.0,19.0,14.0,18.0,17.0,19.0,17.0,17.0,19.0,50
2.0,19.0,24.0,21.0,20.0,10.0,18.0,20.0,20.0,14.0,24.0,16.0,49
1.0,18.0,19.0,18.0,16.0,19.0,19.0,21.0,23.0,23.0,22.0,20.0,33
2.0,24.0,20.0,21.0,18.0,15.0,29.0,22.0,24.0,28.0,21.0,22.0,39
2.0,22.0,20.0,19.0,19.0,14.0,22.0,20.0,23.0,27.0,20.0,21.0,47
1.0,21.0,24.0,20.0,18.0,13.0,14.0,18.0,21.0,19.0,20.0,20.0,53
2.0,26.0,17.0,16.0,18.0,10.0,17.0,17.0,17.0,20.0,18.0,19.0,41
1.0,18.0,18.0,15.0,17.0,11.0,16.0,15.0,20.0,21.0,16.0,21.0,52
1.0,27.0,19.0,16.0,17.0,13.0,19.0,14.0,25.0,25.0,19.0,20.0,48
1.0,29.0,21.0,20.0,18.0,12.0,20.0,20.0,19.0,20.0,20.0,19.0,51
1.0,30.0,21.0,18.0,18.0,12.0,19.0,19.0,20.0,22.0,21.0,18.0,40
1.0,20.0,20.0,21.0,20.0,17.0,20.0,18.0,24.0,19.0,22.0,21.0,55
1.0,21.4,18.0,13.0,14.0,13.0,13.0,12.0,12.0,16.0,17.3,19.0,30
2.0,25.0,22.0,17.0,20.0,16.0,20.0,20.0,20.0,20.0,19.0,30.0,50
2.0,21.4,19.0,10.0,14.0,15.0,20.0,19.7,19.3,12.0,17.3,16.0,20
2.0,21.4,21.0,14.0,15.0,21.0,14.0,12.0,12.0,16.0,11.0,25.0,30
1.0,50.0,24.0,21.0,19.0,13.0,27.0,30.0,20.0,21.0,19.0,30.0,50
1.0,16.0,19.0,16.0,16.0,21.0,15.0,16.0,20.0,20.0,20.0,40.0,52
1.0,21.4,22.0,12.0,11.0,14.0,20.0,19.7,11.0,11.0,18.0,16.0,31
1.0,20.0,17.0,18.0,16.0,11.0,20.0,20.0,20.0,21.0,16.0,32.0,52
1.0,17.0,18.0,16.0,15.2,21.0,20.0,11.0,21.0,21.0,16.0,32.0,52
1.0,13.0,16.0,16.0,15.2,21.0,10.0,14.0,22.0,20.0,17.0,31.0,40
2.0,18.0,19.0,17.0,10.0,21.0,20.0,11.0,19.0,22.0,12.0,27.0,46
2.0,21.4,21.0,15.0,15.2,21.0,11.0,19.7,16.0,18.1,17.3,17.0,21
2.0,21.4,23.0,11.0,15.2,21.0,20.0,19.7,19.3,11.0,17.3,17.0,30
2.0,21.4,21.0,13.0,10.0,21.0,20.0,12.0,19.3,21.0,10.0,25.0,36
2.0,14.0,22.0,16.0,15.2,21.0,20.0,10.0,20.0,20.0,10.0,30.0,43
1.0,20.0,19.0,17.0,15.2,11.0,10.0,10.0,21.0,18.0,16.0,36.0,46
1.0,31.0,24.0,17.0,10.0,21.0,11.0,10.0,22.0,18.0,20.0,40.0,46
1.0,12.0,21.0,16.0,15.2,21.0,11.0,10.0,17.0,23.0,17.0,32.0,56
